Player,Team,WikiPageViews,u500W,o51W,o1W,DailyAverage,Endorsements,U5e,o510e,o10e,Salary,CurrentInstagramFollowers,Insta4,Insta510,Insta1020,Insta20o,BY YEAR,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,+/-,PIE,TeamPIE,Contribution,Award,Age,YNBA,
James Harden,BKN/PHI,"1,504,032",0,0,1,6139,"18,000,000",0,0,1,44300000,"11,600,000",0,0,1,0,2021-22,TOT,65,37.2,22,6.3,15.3,41,2.3,6.9,33,7.2,8.2,87.7,0.8,6.8,7.7,10.3,4.4,1.3,0.6,2.4,47.7,42,11,2.7,15.3,51.45,0.297376093,0,32,11,
Chris Paul,PHX,"1,194,576",0,0,1,4876,"8,000,000",0,1,0,27800000,"11,500,000",0,0,1,0,2021-22,PHX,65,32.9,14.7,5.6,11.3,49.3,1,3.1,31.7,2.6,3.1,83.7,0.3,4,4.4,10.8,2.4,1.9,0.3,2.1,40.3,34,2,7.1,15,54.8,0.273722628,0,36,18,
Paul George,LAC,"360,348",1,0,0,1471,"8,500,000",0,1,0,39300000,"9,700,000",0,1,0,0,2021-22,LAC,31,34.8,24.3,8.6,20.5,42.1,2.9,8.3,35.4,4.1,4.8,85.8,0.4,6.5,6.9,5.7,4.1,2.2,0.4,2.4,44.8,7,0,3,14.8,50.2,0.294820717,0,31,12,
Klay Tompson,GSW,"1,668,184",0,0,1,6809,"16,000,000",0,0,1,38000000,"13,800,000",0,0,1,0,2021-22,GSW,32,29.4,20.4,7.7,17.9,42.9,3.6,9.3,38.5,1.4,1.6,90.2,0.5,3.4,3.9,2.8,1.3,0.5,0.5,1.7,30.9,0,0,2.1,11.4,53.6,0.212686567,0,31,10,
Giannis Antetokounmpo,MIL,"2,280,215",0,0,1,9307,"41,000,000",0,0,1,39300000,"13,700,000",0,0,1,0,2021-22,MIL,67,32.9,29.9,10.3,18.6,55.3,1.1,3.6,29.3,8.3,11.4,72.2,2,9.6,11.6,5.8,3.3,1.1,1.4,3.2,56.5,46,4,5.9,21,51.6,0.406976744,1,27,8,
Jimmy Butler,MIA,"1,237,351",0,0,1,5050,"8,000,000",0,1,0,32500000,"7,600,000",0,1,0,0,2021-22,MIA,57,33.9,21.4,7,14.5,48,0.5,2,23.3,6.9,8,87,1.8,4.1,5.9,5.5,2.1,1.6,0.5,1.5,40.9,12,4,4.3,16.4,52.9,0.310018904,0,32,12,
Damian Lilard,POR,"664,825",0,1,0,2714,"17,000,000",0,0,1,39300000,"9,600,000",0,1,0,0,2021-22,POR,29,36.4,24,7.7,19,40.2,3.2,9.8,32.4,5.5,6.2,87.8,0.4,3.7,4.1,7.3,2.9,0.6,0.4,1.3,39.9,8,0,-1,12.6,44.7,0.281879195,0,31,11,
LeBron James ,LAL,"5,083,430",0,0,1,20749,"90,000,000",0,0,1,36900000,"136,000,000",0,0,0,1,2021-22,LAL,56,37.2,30.3,11.4,21.8,52.4,2.9,8,35.9,4.5,6,75.6,1.1,7.1,8.2,6.2,3.5,1.3,1.1,2.2,53,21,6,-2.1,18,48.2,0.373443983,0,37,20,
Stephan Curry,GSW,"5,697,154",0,0,1,23254,"45,000,000",0,0,1,41200000,"47,100,000",0,0,0,1,2021-22,GSW,64,34.5,25.5,8.4,19.1,43.7,4.5,11.7,38,4.3,4.7,92.3,0.5,4.7,5.2,6.3,3.2,1.3,0.4,2,43.1,12,2,8,15.5,53.6,0.289179104,1,33,13,
Kevin Durant,BKN,"1,967,045",0,0,1,8029,"48,000,000",0,0,1,40900000,"13,100,000",0,0,1,0,2021-22,BKN,55,37.2,29.9,10.5,20.3,51.8,2.1,5.5,38.3,6.8,7.4,91,0.5,6.9,7.4,6.4,3.5,0.9,0.9,2.1,50.3,18,4,4.9,18,51.2,0.3515625,0,33,14,
